time,Group name,username,rôle,action,message,termUser,msgRecipient,command,args,response du terminal,score,encodage aide,embedding,start,end,linkto
15:58:14,KEFA,alexandre,Fournisseur,message,rdy stdy go !,,trinome,,,,,Hors tâche,,,,
15:58:20,KEFA,adrien,Client,message,et regardez le chat pck des fois va falloir demander aux autres de faire des trucs sur nos fichiersr,,trinome,,,,,Aide proposée,​id1_start,​id1_start,,
15:58:41,KEFA,alexandre,Fournisseur,message,dac,,trinome,,,,,Aide acceptée,,,,
15:58:52,KEFA,alexandre,Fournisseur,terminal,,alexandre,,,,,,,,,,
15:59:04,KEFA,alexandre,Fournisseur,terminal,,alexandre,,,,,,,,,,
15:59:11,KEFA,alphonse,Gestionnaire,command,,,,cd,,,1,,,,,
15:59:16,KEFA,alphonse,Gestionnaire,message,Compris,,trinome,,,,,Aide acceptée,,,,
15:59:25,KEFA,alexandre,Fournisseur,command,,,,cd,,,1,,,,,
15:59:30,KEFA,alphonse,Gestionnaire,command,,,,cd,../../../,,1,,,,,
15:59:34,KEFA,adrien,Client,message,bon bah c'est parti gl ;),,trinome,,,,,Aide proposée,,,,
15:59:37,KEFA,adrien,Client,terminal,,adrien,,,,,,,,,,
15:59:37,KEFA,alphonse,Gestionnaire,command,,,,cd,../,,1,,,,,
15:59:39,KEFA,alphonse,Gestionnaire,command,,,,ls,,"bin   dev  home        lib    lost+found  mnt  proc  run   srv  tmp  var
boot  etc  initrd.img  lib64  media       opt  root  sbin  sys  usr  vmlinuz",1,,,,,
15:59:50,KEFA,alphonse,Gestionnaire,command,,,,cd,home,,1,,,,,
15:59:54,KEFA,alphonse,Gestionnaire,command,,,,ls,,client  fournisseur  gestionnaire  maintenance,1,,,,,
16:00:00,KEFA,alphonse,Gestionnaire,command,,,,cd,gestionnaire,,1,,,,,
16:00:22,KEFA,alphonse,Gestionnaire,command,,,,ls,,ARCHI1  gestionnaire.sh,1,,,,,
16:00:25,KEFA,adrien,Client,command,,,,cd,/opt/collab4ce,,1,,,,,
16:00:30,KEFA,adrien,Client,command,,,,ls,-l,"total 0
-rw-r--r-- 1 client      collab4ce 0 déc.  13 16:25 ficClient
-rw-r--r-- 1 fournisseur collab4ce 0 déc.  13 16:24 ficProduits",1,,,,,
16:00:34,KEFA,alexandre,Fournisseur,command,,,,cat,/opt/collab4ce,cat: /opt/collab4ce: est un dossier,0,,,,,
16:00:35,KEFA,alphonse,Gestionnaire,message,Thx,,trinome,,,,,Aide acceptée,id1_end,,id1_end,
16:00:37,KEFA,adrien,Client,command,,,,ls,,ficClient  ficProduits,1,,,,,
16:00:54,KEFA,alexandre,Fournisseur,command,,,,cat,/opt/collab4ce/ficProduit,cat: /opt/collab4ce/ficProduit: Aucun fichier ou dossier de ce type,0,,,,,
16:00:58,KEFA,alexandre,Fournisseur,command,,,,cat,/opt/collab4ce/ficProduits,,1,,,,,
16:01:36,KEFA,alexandre,Fournisseur,command,,,,cd,/fournisseur,-bash: cd: /fournisseur: Aucun fichier ou dossier de ce type,0,,,,,
16:01:41,KEFA,alphonse,Gestionnaire,command,,,,/opt/collab4ce/ficProduits,,-bash: /opt/collab4ce/ficProduits: Permission non accordée,0,,,,,
16:01:42,KEFA,alexandre,Fournisseur,command,,,,cd,/home/fournisseur,,1,,,,,
16:01:58,KEFA,alphonse,Gestionnaire,command,,,,/opt/collab4ce/ficClient,,-bash: /opt/collab4ce/ficClient: Permission non accordée,0,,,,,
16:02:15,KEFA,adrien,Client,command,,,,cd,/home/client,,1,,,,,
16:02:21,KEFA,adrien,Client,command,,,,ls,,Archi1  client.sh,1,,,,,
16:02:55,KEFA,alexandre,Fournisseur,message,"dans le script je dois vérifier l'existence d'un fichier, une idée de comment faire ?",,trinome,,,,,Demande d'aide,​id2_start,​id2_start,,
16:03:03,KEFA,alexandre,Fournisseur,message,déjà la pls :'),,trinome,,,,,Demande d'aide,,,,
16:03:35,KEFA,adrien,Client,message,heu bah faut verifier grace a  grep? je sais plus,,trinome,,,,,Aide proposée,,,,
16:03:45,KEFA,adrien,Client,message,jai la meme je suis bloqué^,,trinome,,,,,Demande d'aide,,,,
16:03:55,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:04:14,KEFA,alphonse,Gestionnaire,message,...,,trinome,,,,,Demande d'aide,,,,
16:04:21,KEFA,alphonse,Gestionnaire,message,Pareille ...,,trinome,,,,,Demande d'aide,,,,
16:04:29,KEFA,alexandre,Fournisseur,command,,,,ls,~/opt/collab4ce,"ls: impossible d'accéder à /home/fournisseur/opt/collab4ce: Aucun fichier ou dossier de
ce type",0,,,,,
16:04:31,KEFA,adrien,Client,message,ok ca commence bien...,,trinome,,,,,Demande d'aide,,,,
16:04:49,KEFA,alphonse,Gestionnaire,message,Moi j'ai essayé juste en tapant l'adresse du truc,,trinome,,,,,Aide proposée,,,,
16:04:52,KEFA,alexandre,Fournisseur,command,,,,ls,/opt/collab4ce,ficClient  ficProduits,1,,,,,
16:05:05,KEFA,alexandre,Fournisseur,command,,,,ls,,Archi1  fournisseur.sh  TD01,1,,,,,
16:05:09,KEFA,alphonse,Gestionnaire,message,Et y a écrit que j'ai pas les droits,,trinome,,,,,Demande d'aide,id2_end,,id2_end,
16:05:25,KEFA,alexandre,Fournisseur,command,,,,cd,..,,1,,,,,
16:05:34,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:05:36,KEFA,alexandre,Fournisseur,command,,,,cd,/fournisseur,-bash: cd: /fournisseur: Aucun fichier ou dossier de ce type,0,,,,,
16:05:37,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:05:38,KEFA,alphonse,Gestionnaire,terminal,,alexandre,,,,,,,,,,
16:05:43,KEFA,alexandre,Fournisseur,command,,,,ls,,client  fournisseur  gestionnaire  maintenance,1,,,,,
16:05:43,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:05:45,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:05:45,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:05:49,KEFA,alexandre,Fournisseur,command,,,,cd,fournisseur,,1,,,,,
16:05:54,KEFA,alexandre,Fournisseur,command,,,,ls,,Archi1  fournisseur.sh  TD01,1,,,,,
16:06:10,KEFA,alexandre,Fournisseur,command,,,,ls,/opt/callab4ce,ls: impossible d'accéder à /opt/callab4ce: Aucun fichier ou dossier de ce type,0,,,,,
16:06:17,KEFA,alexandre,Fournisseur,command,,,,ls,/opt/collab4ce,ficClient  ficProduits,1,,,,,
16:06:47,KEFA,adrien,Client,command,,,,nano,client.sh,,1,,,,,
16:06:53,KEFA,adrien,Client,command,,,,ls,-l,"total 8
drwxr-xr-x 7 client client 4096 déc.  14 15:38 Archi1
-rwx------ 1 client client    9 déc.  14 16:06 client.sh",1,,,,,
16:07:01,KEFA,adrien,Client,command,,,,ls,client.sh,client.sh,1,,,,,
16:07:07,KEFA,adrien,Client,command,,,,ls,client.s,ls: impossible d'accéder à client.s: Aucun fichier ou dossier de ce type,0,,,,,
16:08:02,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:08:06,KEFA,alphonse,Gestionnaire,terminal,,alexandre,,,,,,,,,,
16:08:16,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:08:19,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:10:22,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:10:40,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,,1,,,,,
16:10:58,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:10:59,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,yo,1,,,,,
16:11:23,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:11:27,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,yo,1,,,,,
16:12:05,KEFA,alexandre,Fournisseur,command,,,,nano,fournisseur.sh,,1,,,,,
16:12:07,KEFA,alexandre,Fournisseur,command,,,,sh,fournisseur.sh,"ficProduits
yo",1,,,,,
16:12:19,KEFA,alexandre,Fournisseur,terminal,,alphonse,,,,,,,,,,
16:12:23,KEFA,alexandre,Fournisseur,terminal,,adrien,,,,,,,,,,
16:12:25,KEFA,alexandre,Fournisseur,terminal,,alphonse,,,,,,,,,,
16:12:28,KEFA,alexandre,Fournisseur,terminal,,adrien,,,,,,,,,,
16:12:31,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:12:34,KEFA,alphonse,Gestionnaire,terminal,,alexandre,,,,,,,,,,
16:12:39,KEFA,alphonse,Gestionnaire,terminal,,adrien,,,,,,,,,,
16:12:40,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:12:40,KEFA,alphonse,Gestionnaire,terminal,,alphonse,,,,,,,,,,
16:13:16,KEFA,alexandre,Fournisseur,message,adrien il fonctionne comment ton if ls client.sh (j'avoue que j'ai pas suivi l'amphi),,trinome,,,,,Demande d'aide,​id3_start,​id3_start,,
16:13:43,KEFA,adrien,Client,message,heu bah ca verifie si il existe je crois,,trinome,,,,,Aide proposée,​id3_end,,​id3_end,
