id,Group number,Group name,Username,Sex,Role,PR-SEP-D,PR-SEP-D.Q1,PR-SEP-D.Q2,PR-SEP-D.Q3,PR-SEP-D.Q4,PR-SEP-D.Q5,PR-SEP-D.Q6,PR-SEP-D.Q7,PR-SEP-D.Q8,PR-SEP-TC,PR-SEP-TC.Q1,PR-SEP-TC.Q2,PR-SEP-TC.Q3,PR-SEP-TC.Q4,PR-SEP-TC.Q5,PR-SEP-TC.Q6,PR-SEP-TC.Q7,PR-SEP-TC.Q8,PO-SEC,PO-SEC.Q1,PO-SEC.Q2,PO-SEC.Q3,PO-SEC.Q4,PO-SEC.Q5,PO-SEC.Q6,PO-SEC.Q7,PO-SEC.Q8,PO-SEC.Q9,PO-SEC.Q10,PO-SEC.Q11,PO-SEC.Q12,PO-SEC.Q13,PO-SEC.Q14,PO-SEC.Q15,PO-SEC.Q16,PO-SEP-D,PO-SEP-D.Q1,PO-SEP-D.Q2,PO-SEP-D.Q3,PO-SEP-D.Q4,PO-SEP-D.Q5,PO-SEP-D.Q6,PO-SEP-D.Q7,PO-SEP-D.Q8,PO-SEP-TC,PO-SEP-TC.Q1,PO-SEP-TC.Q2,PO-SEP-TC.Q3,PO-SEP-TC.Q4,PO-SEP-TC.Q5,PO-SEP-TC.Q6,PO-SEP-TC.Q7,PO-SEP-TC.Q8,PO-ETP,PO-ETP.Q1,PO-ETP.Q2,PO-ETP.Q3,PO-ETP.Q4,PO-ETP.Q5,PO-ETM1,PO-ETM1-role,PO-ETM1.Q1,PO-ETM1.Q2,PO-ETM1.Q3,PO-ETM1.Q4,PO-ETM1.Q5,PO-ETM2,PO-ETM2-role,PO-ETM2.Q1,PO-ETM2.Q2,PO-ETM2.Q3,PO-ETM2.Q4,PO-ETM2.Q5,PO-PLA,PO-PLA.Q1,PO-PLA.Q2,,,,,,total interactions,msg,trm,cmd,cmd 1,cmd 0,catégorisation entraide,Demande d'aide,Aide proposée,Aide acceptée,Aide refusée,Hors tâche,Non consensuel
G1,1,KEFA,,,,52.5,2.333333333,2,2.333333333,3.333333333,2.333333333,2.666666667,3.333333333,2.666666667,77.5,4,3.666666667,4,4,3.333333333,4,4.333333333,3.666666667,59.58333333,3.666666667,2.333333333,1.666666667,1.666666667,2.333333333,2,1.333333333,1.666666667,4.666666667,2.333333333,3.333333333,5,4.333333333,2.333333333,5,4,35.83333333,1.333333333,1,1.333333333,1.333333333,1.666666667,2.666666667,3.333333333,1.666666667,61.66666667,3,2.666666667,2,3,3,4,3.333333333,3.666666667,44,2,3,1.333333333,2.666666667,2,73.33333333,,4,3.666666667,3,4,3.666666667,64,,3.333333333,3.333333333,2.333333333,3.666666667,3.333333333,,2.333333333,5,,,,,,338,74,117,147,121,26,,30,24,8,0,11,1
G2,2,AMOT,,,,69.16666667,3.666666667,2.666666667,3.666666667,4,3.666666667,2.666666667,3.333333333,4,74.16666667,4.333333333,4,3.333333333,3.666666667,4,2.666666667,4,3.666666667,67.5,4,3,3,1.666666667,2.333333333,2.666666667,2,2.333333333,4.666666667,2.666666667,5,5,5,2.333333333,5,3.333333333,57.5,3,2,3,3,3.333333333,2.666666667,3,3,72.5,4.333333333,3.666666667,2.666666667,3.666666667,3.666666667,3.666666667,3.666666667,3.666666667,69.33333333,4.333333333,3.333333333,3.666666667,3.333333333,2.666666667,78.66666667,,4.333333333,3.666666667,3.666666667,4.333333333,3.666666667,65.33333333,,3.333333333,3.666666667,3.333333333,3,3,,4,4,,,,,,462,93,213,156,122,34,,27,40,19,0,6,1
G3,3,ZEBE,,,,64.16666667,2.666666667,2.666666667,3,3.333333333,3.333333333,3,3.666666667,4,65,3.666666667,3,3.333333333,2.666666667,3.333333333,2.666666667,3.333333333,4,73.33333333,3.666666667,3.333333333,4,2.333333333,3.333333333,4,3.333333333,3,4.333333333,3,4.333333333,5,4.333333333,2,5,3.666666667,54.16666667,2.333333333,1.666666667,2.666666667,3,2.666666667,2.333333333,3.333333333,3.666666667,75.83333333,4.666666667,3.666666667,4,3,4,3,4,4,64,3.666666667,3.666666667,2.333333333,3,3.333333333,88,,4.333333333,4.333333333,4.666666667,4,4.666666667,72,,4,3.666666667,4,3,3.333333333,,2,4.666666667,,,,,,327,117,146,64,48,16,,24,49,8,0,35,1
G4,4,YOHA,,,,64.16666667,3,1.666666667,3.333333333,4.333333333,4,2.333333333,3.333333333,3.666666667,85,4.333333333,4.333333333,4,4.333333333,4,4,4.333333333,4.666666667,65.83333333,3.666666667,3.666666667,2.666666667,1.666666667,2,2.666666667,2.666666667,2.333333333,4.333333333,3.666666667,3.666666667,5,5,2,4,3.666666667,57.5,2.666666667,2,3.333333333,3,2.666666667,2.666666667,2.333333333,4.333333333,74.16666667,4,4.333333333,2.666666667,3.666666667,3.666666667,3,3.666666667,4.666666667,64,3.333333333,2.666666667,3.333333333,2.666666667,4,64,,3,3.333333333,3.333333333,3,3.333333333,72,,3.333333333,3.666666667,3.666666667,3.333333333,4,,2.666666667,4.333333333,,,,,,368,51,251,66,48,18,,15,20,6,0,9,1
G5,5,PHIL,,,,73.33333333,3.666666667,3.666666667,3.333333333,4,3.666666667,3.333333333,3.666666667,4,75.83333333,4,4,3.666666667,4,3.666666667,3.666666667,3.666666667,3.666666667,64.16666667,3,3.333333333,4,2.666666667,2.666666667,3,2.666666667,2.666666667,4.333333333,2,3.333333333,4.333333333,4.333333333,1.666666667,4.333333333,3,59.16666667,2.666666667,2.333333333,3,3,3,3,3,3.666666667,71.66666667,3.333333333,3.333333333,2.666666667,3.666666667,4,3.666666667,4,4,60,3.333333333,2.333333333,3,3,3.333333333,65.33333333,,3.333333333,3,3.333333333,3.333333333,3.333333333,62.66666667,,3,3,3,3.333333333,3.333333333,,2,4,,,,,,127,23,43,61,43,18,,4,8,3,0,8,0
G6,6,TALM,,,,65,3.666666667,2,3.666666667,2.666666667,3,3,4,4,78.33333333,4.333333333,4.333333333,3.666666667,3.666666667,4,4,4,3.333333333,72.5,3,4,4.333333333,3,3.333333333,3.666666667,2.333333333,2.666666667,3.666666667,3.333333333,4,5,4.666666667,2.666666667,4.666666667,3.666666667,57.5,3,2,3,2,2.666666667,3.666666667,2.333333333,4.333333333,82.5,4.333333333,4.666666667,2.666666667,4,4,4,4.666666667,4.666666667,81.33333333,4.333333333,4,3.666666667,4,4.333333333,80,,4.666666667,4,4,3.666666667,3.666666667,82.66666667,,4.666666667,4.333333333,4.333333333,3.666666667,3.666666667,,2.666666667,4.666666667,,,,,,299,102,147,50,36,14,,27,34,14,0,27,0
G7,7,THOM,,,,51.66666667,2.333333333,1.666666667,2.666666667,2.333333333,3,3,3.666666667,2,85,4.666666667,4,4.666666667,4.666666667,4.333333333,3.333333333,4.333333333,4,70.41666667,3.666666667,3.666666667,3,2.333333333,4.333333333,3,2.666666667,2.666666667,4.333333333,2.333333333,3.333333333,5,5,3,4.333333333,3.666666667,45,1.666666667,2.666666667,2,2,2.333333333,2.333333333,3,2,81.66666667,4.333333333,4,3.666666667,4,4.333333333,4,4.333333333,4,70.66666667,3.333333333,4.333333333,4.333333333,2.666666667,3,73.33333333,,4.333333333,2.666666667,3.666666667,4,3.666666667,74.66666667,,4,2.666666667,4,4.333333333,3.666666667,,2.333333333,4.666666667,,,,,,216,56,79,81,57,24,,25,23,5,0,3,0
G8,8,LEVY,,,,64.16666667,3.333333333,2.333333333,3.333333333,2.666666667,3,3.333333333,3.666666667,4,85,5,4.333333333,3.666666667,4.666666667,3.666666667,4,4,4.666666667,57.5,2.333333333,3.333333333,2.333333333,1.666666667,3.333333333,2.333333333,2.666666667,2,3.666666667,2.333333333,2,4.666666667,4.333333333,2,4.666666667,2.333333333,50,2.333333333,2,2.333333333,2.333333333,2,2.333333333,3.333333333,3.333333333,55.83333333,2,3,2.333333333,3.333333333,3,2.333333333,3,3.333333333,53.33333333,3,1.666666667,3,2.666666667,3,50.66666667,,3,2.333333333,2,3,2.333333333,50.66666667,,2.666666667,2,2.666666667,2.666666667,2.666666667,,2.666666667,4.333333333,,,,,,309,13,223,73,65,8,,8,0,1,0,4,0
G9,9,ALPH,,,,70,3.333333333,2.666666667,3,4.333333333,3,3.333333333,3.666666667,4.666666667,95.83333333,4.666666667,5,4.666666667,4.666666667,4.666666667,4.666666667,5,5,65.41666667,3.666666667,3.333333333,2,1.666666667,2,2.333333333,3.333333333,2,4.666666667,3.666666667,3.333333333,5,5,2.333333333,4.666666667,3.333333333,61.66666667,2.333333333,2,3,3,3.666666667,3,3.666666667,4,73.33333333,3,3.333333333,2.666666667,4,4,4,3.666666667,4.666666667,62.66666667,2.666666667,2.666666667,3,3.666666667,3.666666667,77.33333333,,4,4,3.666666667,3.666666667,4,77.33333333,,4,3.666666667,3.333333333,4,4.333333333,,1.666666667,5,,,,,,145,39,80,26,20,6,,11,7,4,0,17,0
G10,10,THAD,,,,65,3.333333333,3,3.333333333,3.333333333,2,3.666666667,3.333333333,4,71.66666667,4,3.666666667,3.666666667,3.666666667,3.666666667,3.333333333,3.333333333,3.333333333,64.16666667,4.333333333,2.333333333,2,1,2.666666667,2.333333333,2.333333333,2.333333333,5,1.666666667,2,5,5,4.666666667,5,3.666666667,48.33333333,2.333333333,1.666666667,2.666666667,2,2.333333333,2.333333333,3.666666667,2.333333333,73.33333333,3.666666667,5,2.666666667,4.333333333,3.333333333,3,3.333333333,4,61.33333333,3,2.666666667,3,3,3.666666667,62.66666667,,3,3,3,3.333333333,3.333333333,57.33333333,,3,3,2.333333333,3,3,,3,4,,,,,,339,90,212,37,32,5,,30,19,14,0,27,0
