id,Group number,Group name,Username,Sex,Role,PR-SEP-D,PR-SEP-D.Q1,PR-SEP-D.Q2,PR-SEP-D.Q3,PR-SEP-D.Q4,PR-SEP-D.Q5,PR-SEP-D.Q6,PR-SEP-D.Q7,PR-SEP-D.Q8,PR-SEP-TC,PR-SEP-TC.Q1,PR-SEP-TC.Q2,PR-SEP-TC.Q3,PR-SEP-TC.Q4,PR-SEP-TC.Q5,PR-SEP-TC.Q6,PR-SEP-TC.Q7,PR-SEP-TC.Q8,PO-SEC,PO-SEC.Q1,PO-SEC.Q2,PO-SEC.Q3,PO-SEC.Q4,PO-SEC.Q5,PO-SEC.Q6,PO-SEC.Q7,PO-SEC.Q8,PO-SEC.Q9,PO-SEC.Q10,PO-SEC.Q11,PO-SEC.Q12,PO-SEC.Q13,PO-SEC.Q14,PO-SEC.Q15,PO-SEC.Q16,PO-SEP-D,PO-SEP-D.Q1,PO-SEP-D.Q2,PO-SEP-D.Q3,PO-SEP-D.Q4,PO-SEP-D.Q5,PO-SEP-D.Q6,PO-SEP-D.Q7,PO-SEP-D.Q8,PO-SEP-TC,PO-SEP-TC.Q1,PO-SEP-TC.Q2,PO-SEP-TC.Q3,PO-SEP-TC.Q4,PO-SEP-TC.Q5,PO-SEP-TC.Q6,PO-SEP-TC.Q7,PO-SEP-TC.Q8,PO-ETP,PO-ETP.Q1,PO-ETP.Q2,PO-ETP.Q3,PO-ETP.Q4,PO-ETP.Q5,PO-ETM1,PO-ETM1-role,PO-ETM1.Q1,PO-ETM1.Q2,PO-ETM1.Q3,PO-ETM1.Q4,PO-ETM1.Q5,PO-ETM2,PO-ETM2-role,PO-ETM2.Q1,PO-ETM2.Q2,PO-ETM2.Q3,PO-ETM2.Q4,PO-ETM2.Q5,PO-PLA,PO-PLA.Q1,PO-PLA.Q2,PO-PLA.Q3,PO-PLA.Q4,PO-PLA.Q5,PO-PLA.Q6,PO-PLA.Q7,total interactions,msg,trm,cmd,cmd 1,cmd 0,catégorisation entraide,Demande d'aide,Aide proposée,Aide acceptée,Aide refusée,Hors tâche,Non consensuel
p1,1,KEFA,adrien,M,Client,40,2,1,1,2,2,2,3,3,90,5,5,4,4,3,5,5,5,47.5,3,2,1,1,1,1,1,1,5,1,1,5,5,1,5,4,30,1,1,1,1,1,1,5,1,55,3,3,1,3,3,3,3,3,48,2,3,1,4,2,60,Gestionnaire,3,3,2,4,3,60,Fournisseur,3,3,2,4,3,,1,5,Les deux,pour s'entraider,pour s'aider en se donnant des astuces pour le script,un chat vocal,c'était dur et il n'y avait pas assez de temps pour finir,109,33,27,49,39,10,,12,16,2,0,2,1
p2,1,KEFA,alexandre,M,Fournisseur,75,3,4,3,5,4,3,4,4,80,4,4,3,5,4,4,4,4,66.25,4,2,2,3,3,2,1,2,4,3,4,5,4,5,5,4,45,2,1,2,2,3,3,2,3,82.5,4,4,3,4,4,5,4,5,60,3,4,2,3,3,84,Client,4,5,4,4,4,64,Gestionnaire,3,4,2,4,3,,5,5,Les deux,"J'ai pu posé des questions à mon trinome, leur exposé mes problèmes, et aider quand j'en avais la possibilité. Et bien-sûr simplement communiquer.","J'ai pu aller voir les script du trinome, et m'aider de leurs codes pour améliorer le mien.","Pouvoir envoyer des screenshots dans le chat, et peut-être la possibilité de se balader un peu plus librement dans le terminal des autres (si c'est possible)",Le principal problème était un manque de connaissance du shell,130,21,30,79,68,11,,11,1,3,0,6,0
p3,1,KEFA,alphonse,M,Gestionnaire,42.5,2,1,3,3,1,3,3,1,62.5,3,2,5,3,3,3,4,2,65,4,3,2,1,3,3,2,2,5,3,5,5,4,1,5,4,32.5,1,1,1,1,1,4,3,1,47.5,2,1,2,2,2,4,3,3,24,1,2,1,1,1,76,Client,5,3,3,4,4,68,Fournisseur,4,3,3,3,4,,1,5,Les deux,Entraide pour compréhension du sujet et des commandes à faire,Copier les morceaux qui était communs,Ne se prononce pas,Cet exercice était trop difficile pour une personne comme moi (nul et qui n'aime pas ça),99,20,60,19,14,5,,7,7,3,0,3,0
p4,2,AMOT,amelien,M,Client,52.5,3,2,3,3,3,2,2,3,75,4,4,4,3,4,3,4,4,66.25,4,3,3,1,2,3,2,2,5,3,5,5,5,1,5,4,50,3,1,2,3,3,2,3,3,70,5,4,2,3,4,3,3,4,64,4,3,3,4,2,80,Gestionnaire,4,3,5,5,3,64,Fournisseur,4,3,3,3,3,,5,5,Les deux,pour poser des questions et répondre aux autres,pour me donner des idées,"rien, très bonne plateforme",difficulté de compréhension,158,32,91,35,24,11,,11,10,8,0,3,0
p5,2,AMOT,annibal,M,Fournisseur,70,4,2,3,4,3,4,4,4,72.5,5,5,3,3,4,2,4,3,66.25,4,3,3,3,3,2,2,1,4,1,5,5,5,2,5,5,45,2,1,2,1,3,3,4,2,67.5,5,4,2,3,3,3,4,3,56,4,4,3,1,2,72,Gestionnaire,5,4,3,3,3,68,Client,3,4,4,3,3,,2,2,"Les deux, Autres",poser des questions et répondre,à pouvoir s'inspirer de ce que fait mon camarade et l'aider en cas de difficulté,de pouvoir CTRL +C et CTRL+V au lieux de faire des clic droit,,125,27,77,21,17,4,,9,10,6,0,1,1
p6,2,AMOT,armin,M,Gestionnaire,85,4,4,5,5,5,2,4,5,75,4,3,3,5,4,3,4,4,70,4,3,3,1,2,3,2,4,5,4,5,5,5,4,5,1,77.5,4,4,5,5,4,3,2,4,80,3,3,4,5,4,5,4,4,88,5,3,5,5,4,84,Client,4,4,3,5,5,64,Fournisseur,3,4,3,3,3,,5,5,"L'outil de messagerie instantanée, L'outil de vue partagée, Les deux","Réponse à des questions, planification des taches","Voir où les autres en sont, relever leurs erreurs lorsqu'ils demandent de l'aide",Des liens directement cliquable dans le chat,"C'était plutôt long, et faire un shell script avec juste un terminal, c'est assez dur",179,34,45,100,81,19,,7,20,5,0,2,0
p7,3,ZEBE,baptiste,M,Client,82.5,4,4,4,4,4,4,4,5,50,3,1,4,1,3,1,3,4,68.75,3,3,5,1,3,4,4,3,4,3,4,5,3,1,5,4,55,2,1,4,2,3,2,5,3,65,5,2,3,1,4,3,4,4,52,4,3,1,2,3,92,Fournisseur,4,5,5,4,5,76,Gestionnaire,4,4,5,3,3,,2,5,Les deux,Poser des questions,Vérifier ce que les autres produisent,"Des licornes (en vrai rien, c'est déjà une super application)",Meilleure prise en charge du Ctrl C Ctrl V,89,51,18,20,14,6,,2,33,3,0,13,0
p8,3,ZEBE,camille,F,Fournisseur,60,2,2,3,3,4,2,4,4,75,4,4,3,4,4,3,4,4,80,5,4,4,3,3,4,3,3,4,4,4,5,5,4,5,4,57.5,3,2,3,3,3,3,2,4,82.5,4,4,5,4,4,4,4,4,80,4,4,4,4,4,96,Client,5,4,5,5,5,68,Gestionnaire,4,4,3,3,3,,1,4,Les deux,Aider et demander de l'aide aux autres membres du groupe,Comparer la syntaxe de certaines commandes,,,95,49,22,24,20,4,,16,13,1,0,19,0
p9,3,ZEBE,brice,M,Gestionnaire,50,2,2,2,3,2,3,3,3,70,4,4,3,3,3,4,3,4,71.25,3,3,3,3,4,4,3,3,5,2,5,5,5,1,5,3,50,2,2,1,4,2,2,3,4,80,5,5,4,4,4,2,4,4,60,3,4,2,3,3,76,Fournisseur,4,4,4,3,4,72,Client,4,3,4,3,4,,3,5,L'outil de messagerie instantanée,Pour demander de l'aide et aider,,,,143,17,106,20,14,6,,6,3,4,0,3,1
p10,4,YOHA,achille,M,Client,67.5,4,2,4,4,4,2,4,3,92.5,5,5,4,5,4,4,5,5,60,3,4,2,1,2,2,2,2,5,2,2,5,5,4,3,4,57.5,2,2,4,3,3,2,3,4,67.5,4,5,2,3,3,3,3,4,68,3,3,4,3,4,68,Gestionnaire,3,4,4,3,3,68,Fournisseur,3,4,4,3,3,,4,4,Les deux,pour demander de l'aide ou des informations aux membres du groupes,a voir l'avancement des membres du groupes,,trop peu de temps pour tout réaliser,115,12,89,14,10,4,,3,4,1,0,4,0
